text,response,Predicted Label,True Label
Absolutely love when water is spilt on my phone.. Just love it.. #timeforanewphone...,sarcastic,0,1
I was hoping just a LITTLE more shit could hit the fan this week.,sarcastic,0,1
@pdomo Don't forget that Nick Foles is also the new Tom Brady. What a preseason! #toomanystudQBs #thankgodwedonthavetebow,sarcastic,0,0
I constantly see tweets about Arsenal on twitter. Thanks for keeping the world updated @ZachBaugus &amp; @shawnxh . #HugeArsenalFans,sarcastic,0,0
Can feel the feet pulsating...slow one...because my resting heart rate is circa 45bpm...,sarcastic,0,0
10 users followed me and 7 users unfollowed me today (checked by http://t.co/Cjyw1Vbg) [autotweet],sarcastic,0,0
godddd that shower felt so guuuuud.,sarcastic,0,0
Can feel the feet pulsating...slow one...because my resting heart rate is circa 45bpm...,sarcastic,0,0
you're my kryptoniteeeee!&lt;3 RT als je dit herkent (((one direction),sarcastic,0,0
Love an on field argument with @ZachBauld #fuckoffyoucunt #youfuckoff #niceheader #nicekick,sarcastic,0,0
"Wow, kids drinking vodka in the back of the room during a lecture. You guys are classy.",sarcastic,0,1
We all have that one person who we wished we never gave our phone number to... #Ted,sarcastic,0,0
Tweeter? Twits? Austin and Ally sure is creative. #omgihavetotwit,sarcastic,0,0
@AdrianKunina and 3 gallons of seeman,sarcastic,0,0
"You know what we could be together for life but you f**ked me last nigth and I was drunk.., #Quotes #FakeLove",sarcastic,0,0
I think #HootSuite is pretty hoot. Er... hot. http://t.co/afj0hXhw,sarcastic,0,0
I can do what I want to. I play by my own rules 💜,sarcastic,0,0
First day of school....how exciting! #exhausted,sarcastic,0,0
You're dragged down by the very people who claim they're trying to inspire.,sarcastic,0,0
"@ruma1980 lol... You got it in one :), Bed now night monkey see you some time soon at worky woo",sarcastic,0,0
Maths is on. http://t.co/2yZ95TaQ,sarcastic,0,0
"Oh, love this! Shaky camera : Check RT @Hickesy Fake, of course, but I still love this UFO vid http://t.co/n9ju9uM7",sarcastic,0,0
New Jersey Shopping Plaza Shootout Leaves Three Dead - Yahoo! http://t.co/ms6MggL1 via @YahooNews,sarcastic,0,0
Love the political advice on Twitter. #getinformed,sarcastic,0,0
"Rock &amp; Roll Hall of Famers, The Yardbirds are back on tour,, check out http://t.co/FTCb2kjP They brought us Jeff Beck Please Retweet",sarcastic,0,0
Brain says he won't be making anymore transfers :( #exciting,sarcastic,0,0
@funeral4aheart merrrrr fuck my life,sarcastic,0,0
@LeeLiLo_90 @jemlaa90 I wudnt say funny lmao!!,sarcastic,0,0
@Will_Piper should move back up fella. I'm already here... On my own... Having loads of fun,sarcastic,0,0
"@rahulpuri Absolutely! She just keeps re-tweeting anything and everything that mentions her name. My page is flooded! Enough, I said.",sarcastic,0,0
@elfordminis looks awesome. How long did it take to paint?,sarcastic,0,0
I don't know what to do with my life besides get high and make music,sarcastic,0,0
This 8:20 Friday class is gonna be grrreat!!,sarcastic,0,1
Too bad she's not THAT good at playing the gay part of her character. #PLL,sarcastic,0,0
This lab class boring af,sarcastic,0,0
i chose brown sugar mini wheats,sarcastic,0,0
#love being up early after getting no sleep,sarcastic,0,1
Can someone please tell me why it smells like poop in Lebanon right now?! Like seriously though.. #sogross ,sarcastic,0,0
Tweeter? Twits? Austin and Ally sure is creative. #omgihavetotwit,sarcastic,0,0
@babee_kayyy lol itold you iwasnt coming . :) what we do in class ?,sarcastic,0,0
"#PROJECTRUNWAY Ven ur dress gave ur model a 3RD BREAST! Nice, just what every gal wants! u sure know design better than women!",sarcastic,0,0
Actually goin to school tomorrow (x,sarcastic,0,0
@wh_donghaesj engga jadi kan!! :D abis aku on lewat hp jadi ngga bisa edit prof :D,sarcastic,0,0
"Rock &amp; Roll Hall of Famers, The Yardbirds are back on tour,, check out http://t.co/FTCb2kjP They brought us Jeff Beck Please Retweet",sarcastic,0,0
Wanna know how I know your gay??? Because when the truth got out about you it got you hot. Oops my bad yall know dam well IDGAF,sarcastic,0,0
"@chur_ay pengguna baru twett, mhon bantuanx ya. . :D",sarcastic,0,0
These tuff http://t.co/G2rWoMwQ,sarcastic,0,0
@NiallOfficial @AryaDwiCosta Hopefully not a strangers car...(:,sarcastic,0,0
Rat Gooo to sleep ughhh,sarcastic,0,0
@ashvichotai Thankyouu!my dad don't understand why I'm so pleased with that result ! Haha xx,sarcastic,0,0
Thank god I invested in an umbrella this year.,sarcastic,0,0
I was gone for 3 days and my cat didn't even notice...,sarcastic,0,0
"""Well she is pretty! Fifty shades of pretty!"" @TFasullo @laurenhanzel @patrickbenton11",sarcastic,0,0
I keep waking up and falling back to sleep,sarcastic,0,0
I constantly see tweets about Arsenal on twitter. Thanks for keeping the world updated @ZachBaugus &amp; @shawnxh . #HugeArsenalFans,sarcastic,0,0
@Kiraking98 yaaaaaaaaaaay *Insert 'always look on the bright side of life' joke here* :P,sarcastic,0,0
"Off to Jamaica manana! Even though this trip isn't precipitated by the best circumstances, I'm looking forward to being home with fam:-)",sarcastic,0,0
Spending the night in NA... #wooo,sarcastic,0,0
@mattlarter4 it's fun when I only understand 50% of the words in your tweets!,sarcastic,0,0
"Happy Birthday @RAIN_onyou . I miss you hope, you enjoy your day!",sarcastic,0,0
"EVEN MORE BREAKING SHOCKING NEWS: Chelsea and Barcelona have agreed on a £4m fee for Lionel Messi! More to follow! #ITKAgent""",sarcastic,0,0
@babee_kayyy lol itold you iwasnt coming . :) what we do in class ?,sarcastic,0,0
@BigWaits9 @mistrievinson oh gosh.. I'm just so stoked. Hahahah can't even wait.,sarcastic,0,0
Haha wow it's amazing how some seniors can leave after fourth period #jealous 😭😥,sarcastic,0,1
I really admire your maturity.,sarcastic,0,0
Nothing like being in class two hours and having two hours to go! #TDE220,sarcastic,0,1
"To anyone still making the 'Something about a picture of Andy Carroll...OH NO WAIT, IT'S A HORSE' joke; stop.",sarcastic,0,0
Lmfao Cinnabon followed me😂,sarcastic,0,0
"Eww, just saw this nasty, frumpy girl lift up her boob and scratch underneath it... Just puked a little",sarcastic,0,0
#hoam RT @Ryzha39: We live in a world where losing your phone is more dramatic than losing your virginity.,sarcastic,0,0
What to do? Help please @BlackBerryHelp @BlackBerryPH http://t.co/8uX92LQU,sarcastic,0,0
"@ESPN_BMX Pres. Obama should have said ""freestyle? Is that like dressage on a bike?""",sarcastic,0,0
@NurmaFatihah pew yg rmai??,sarcastic,0,0
Dirt under your finger nails has to be the most disgusting looking thing ever,sarcastic,0,0
@yousrhammad @mordy_2012 انا مقتنع براى وهقنعك وممكن بكره القيكى بتتجوزى :D,sarcastic,0,0
@NiallOfficial @AryaDwiCosta Hopefully not a strangers car...(:,sarcastic,0,0
I feel so much better and my voice is semi-normal.,sarcastic,0,0
@kariamoreXxx just passed by your house bud😉,sarcastic,0,0
everyone please request #FashionIsMyKryptonite by @Zendaya96 &amp; @bellathorne!!! so it reaches the DCT3's #1 spot :) &gt; http://t.co/SaBwSsLQ,sarcastic,0,0
@montelorenzo great way to start the senior year,sarcastic,0,0
Want to save money on your next Jerky run? Check out the All Things Jerky coupons at http://t.co/kRyKR2XK.... http://t.co/x0cr5VKs,sarcastic,0,0
Love working on my last day of summer....,sarcastic,0,1
Love getting home from work knowing that in less than 8hours you're getting up to go back there again.,sarcastic,0,1
may that all things go good today at Dacula high school..no drama lol,sarcastic,0,0
"put it on em , make em wanna marry me &lt;&lt;&lt; bitch shutup with all that shit .!",sarcastic,0,0
The Natalee Holloway movie makes me wanna cry 😥😥😥😭😭,sarcastic,0,0
I love when my retainers are super tight and make me talk so attractively! #NOT #majorlisp,sarcastic,0,1
@mduthehippie http://t.co/0qa1bSim&lt; ---- is it?? \☺/,sarcastic,0,0
If my mom wasnt my mom i think i would snuff the shit outta her. -____-,sarcastic,0,0
Give a person power that will be a true test of character.,sarcastic,0,0
Jersey shore us canceled? #SoSad,sarcastic,0,0
"@Vamp So do you sparkle in the sunlight being a ""vampire"" and all? &gt;_&gt;",sarcastic,0,0
"I must go like a page for me to look like ise a batty lord, just for one girl idk to get hair? vell chap my leg off and call me shorty",sarcastic,0,0
"Do you sometimes feel that there isn't room in your car for YOU anymore? As usual, we rush to the rescue with... http://t.co/TE7dMg5g",sarcastic,0,0
I feel so much better and my voice is semi-normal.,sarcastic,0,0
This boy has rosary beads tattooed on him but he is muslim ???,sarcastic,0,0
I just love eight o'clock classes 😒,sarcastic,0,1
This is not so good. http://t.co/nZsxb3pu,sarcastic,0,0
Found this on Sunday. Made me laugh!! Clever people http://t.co/dfKnFIii,sarcastic,0,0
Imma stop snapping tho.,sarcastic,0,0
@elfordminis looks awesome. How long did it take to paint?,sarcastic,0,0
I love going into work at 4:30 in the morning #itsgoingtobealongday,sarcastic,0,1
"LOVE to everyone I spent carnival with, it was special, it was soooo live!!!!!!!",sarcastic,0,0
The average man could not handle my haircut,sarcastic,0,0
espn is disapionted that they didnt get the #CFL game tonight. it is monday night after all #mnf,sarcastic,0,0
Just got off the horn with Clint. Told me he really gives a shit what people think. #NoteToTwitter,sarcastic,0,0
@edstetzer: Only took you 14 mins to decide? I can only hope you give the DNC equal time.,sarcastic,0,0
"Bianca told me that my hair growin wild son ! We need to go get that cut , I said I know mama.",sarcastic,0,0
If you appreciate my nerdy tendencies #TheLoveIsReal,sarcastic,0,0
"""@STcom: From Saturday, active servicemen and NSmen can bring their camera-enabled smartphones into 14 army camps http://t.co/vxrjwlC3"" lol",sarcastic,0,0
Wait what? It's a cat now? What is happening?,sarcastic,0,0
Gee wiz what a great day so far. You can cut the tension with a knife and they think im faking #great.,sarcastic,0,1
"@ESPN_BMX Pres. Obama should have said ""freestyle? Is that like dressage on a bike?""",sarcastic,0,0
"""Well she is pretty! Fifty shades of pretty!"" @TFasullo @laurenhanzel @patrickbenton11",sarcastic,0,0
Just sprained my foot. happy days.,sarcastic,0,1
"Feel like crap, tomorrow should be great. #throathurts #allergies",sarcastic,0,0
"Wow, kids drinking vodka in the back of the room during a lecture. You guys are classy.",sarcastic,0,1
Actually goin to school tomorrow (x,sarcastic,0,0
#fuckthequeen,sarcastic,0,0
"Maryland absolutely, positively did the right thing not honoring James Franklin's ""Head Coach In Waiting"" status.",sarcastic,0,0
I was hoping just a LITTLE more shit could hit the fan this week.,sarcastic,0,1
@Laxin_Italian r u aware ur little brother watches pll with ur sister..he was telling my sister all about it,sarcastic,0,0
Very low entries in this giveaway! Hop over and check it out! http://t.co/OrUSN9ne,sarcastic,0,0
Everybody go follow my nigguh @andrepreid !,sarcastic,0,0
Man kills daughter's BF in #gun control Germany with an EXPLOSION. as long as it's not a gun! #NRA http://t.co/uRi7nk9s,sarcastic,0,0
Love being left alone in the hall while people go and sing #loner,sarcastic,0,1
What wonderful weather we are having right now...,sarcastic,0,1
"@PhilTSoares @jamessharman yeah, trophies and goals aren't everything.",sarcastic,0,0
Another morning like this. #fun,sarcastic,0,0
1 am and I can already tell today will be a great day,sarcastic,0,0
"To anyone still making the 'Something about a picture of Andy Carroll...OH NO WAIT, IT'S A HORSE' joke; stop.",sarcastic,0,0
@edstetzer: Only took you 14 mins to decide? I can only hope you give the DNC equal time.,sarcastic,0,0
Cabin in the Woods udah release!!,sarcastic,0,0
Check this out http://t.co/wR1Qi8lj,sarcastic,0,0
Woooo! When you're up to 12:30 finishing you're English paper!,sarcastic,0,0
Letters: Medical Imaging’s Gains (1 Letter) http://t.co/fnfMNdJa,sarcastic,0,0
Pretty excited about one of the activities Tom &amp; I came up with for veteran training. #surprises.,sarcastic,0,0
So I accidentally took over the whole room and now I'm trying to make room for my roommate...WHO IS COMING TOMORROW BTW... #rushed,sarcastic,0,0
@kariamoreXxx just passed by your house bud😉,sarcastic,0,0
morning people. roadtrip today. unfortunately that means sitting in the car with my family for 3 or 4 hours. yay!,sarcastic,0,1
"Current events, US history, Spanish and English.... my nights gonna be so much fun.",sarcastic,0,0
It seems too early for this to be called an instant classic but Gophs/UNLV is all that.,sarcastic,0,0
Feeling good this morning :)),sarcastic,0,0
"@JHLFC @MartinSamuel_ i'dbe happy with Sturridge, need a finisher. Or maybe Jamie Hopkins,lol.",sarcastic,0,0
I Believe In The Scriptures http://t.co/TjOEbd6D,sarcastic,0,0
Do you want a cookie for that? #notagreatachievement,sarcastic,0,0
School was going by fast until all you fuck niggas went back.,sarcastic,0,0
Good job student finance is on top of things as per #didntwantmoneyanyway #notgunagetmwdown,sarcastic,0,1
School .. There's A Fun Time #wooo,sarcastic,0,0
@chitomirandajr la po bang shedule of show dito sa abu dhabi?,sarcastic,0,0
Youth Of The Nation - P.O.D. [HQ]: http://t.co/lTMD6zKl via @youtube thanks for this !!@thewhosoevers,sarcastic,0,0
Just got my gorgeous boyfriend another prezzie #hewilllovemeforever @wicksaay :D xxxx,sarcastic,0,0
Ada batunya iih (σ‾▿‾)-σ RT @RockBenth: Hhhhheeemmm RT @damaee: ~('o '~)(~' o')~ RT @RockBenth: @damaee aduh beuh parah omongannya !!!!,sarcastic,0,0
Summers over and it was shit. Only sunny day was a bbq in north west with @Kade_96 and @Jess_birch95 hahhahaaa #amazing,sarcastic,0,0
Love an on field argument with @ZachBauld #fuckoffyoucunt #youfuckoff #niceheader #nicekick,sarcastic,0,0
@Will_Piper should move back up fella. I'm already here... On my own... Having loads of fun,sarcastic,0,0
@BigWaits9 @mistrievinson oh gosh.. I'm just so stoked. Hahahah can't even wait.,sarcastic,0,0
Ill probably be a while u diks,sarcastic,0,0
Nothing for me to do -_-,sarcastic,0,0
"I wonder if you smile at my texts, like I smile at yours. :"")",sarcastic,0,0
"“@ItsLifeNotes: You miss me, but you don't even try to talk to me? Okay.”. &lt;/3",sarcastic,0,0
They outcheaaa,sarcastic,0,0
"Henleys Jeans tucked into your slazenger socks, NICE!",sarcastic,0,0
@Laxin_Italian r u aware ur little brother watches pll with ur sister..he was telling my sister all about it,sarcastic,0,0
Long long amazing line at security! Wonderful start to the long weekend #can'twait #hungry #airportat5AM,sarcastic,0,0
Cabin in the Woods udah release!!,sarcastic,0,0
"I said I was going to be productive today, right? Pffft, didn't happen yet",sarcastic,0,0
"Didnt sleep lots last night, good thing my computer is down and i get to do nothing at work. #pissed",sarcastic,0,1
Booty call has successfully been completed xD wowwwwwww @purrrtyRinT,sarcastic,0,0
These tuff http://t.co/G2rWoMwQ,sarcastic,0,0
American Idol Concert with mommy❤🎶 http://t.co/t1FpGjIF,sarcastic,0,0
"Gonna have to do another unfollow spree later today, yeah, those are always fun. #DamnYouFollowLimit",sarcastic,0,1
"I like the way you french.. Inhale ,do it again ❤",sarcastic,0,0
Of course I have the earliest appointment at the dmv and the computers crashed last night #greatmorning,sarcastic,0,1
my legs are so sore. and I have sunburn on my scalp. band camp is getting off to a great start.,sarcastic,0,1
RIP @SKEnergyShots Deeply saddened by the loss of my dear friend and business partner Chris Lighty. He will be greatly missed. - 50,sarcastic,0,0
I will sell any ku student my extra first home game ticket for this weekend! Hit me uo if u want it. Gotts be a student...,sarcastic,0,0
arrgghh my feet r killing me school uniform done new school shoes check coat bag lunch box bed early for me i think @aaronoregan1,sarcastic,0,0
Absolutely love when water is spilt on my phone.. Just love it.. #timeforanewphone...,sarcastic,0,1
Everybody go follow my nigguh @andrepreid !,sarcastic,0,0
Those dreams were beyond f-ed up last night. #GreatStartForTheDay 😔,sarcastic,0,1
in such a happy mood,sarcastic,0,0
@montelorenzo great way to start the senior year,sarcastic,0,0
SPOTTED: @Charlie26Adam doing keepy-ups outside the Etihad stadium #IDontWannaGoToStoke #PleaseTakeMe #TransferDeadineDay,sarcastic,0,0
but it's cool never again,sarcastic,0,0
Haha wow it's amazing how some seniors can leave after fourth period #jealous 😭😥,sarcastic,0,1
#10TurnOns Yet again if you list them on twitter you're garbage.,sarcastic,0,0
Omggg! I want this! My second b'day present? lol tak malu RT @intan_aisha: @sabarinaazzizi and @amiratulnizz http://t.co/nV6XlKMw,sarcastic,0,0
My work ethic tonight is on a different level .. It'll wait till tomorrow,sarcastic,0,0
"Happy Birthday @RAIN_onyou . I miss you hope, you enjoy your day!",sarcastic,0,0
@508Reppin_Tre yea dawg lets go.,sarcastic,0,0
@montelorenzo great way to start the senior year,sarcastic,0,0
"Dear Teva, thank you for waking me up every few hours by howling. Your just trying to be mother natures alarm clock.",sarcastic,0,1
@Joey7Barton stop bitching if you wasn't a dick you would still be with the 1st team,sarcastic,0,0
I really hope the entire population of peterborough county enjoys their a&amp;w... #notbusyatall,sarcastic,0,1
"I like the way you french.. Inhale ,do it again ❤",sarcastic,0,0
Was that necessary? #thanks,sarcastic,0,0
"You know what we could be together for life but you f**ked me last nigth and I was drunk.., #Quotes #FakeLove",sarcastic,0,0
"Haven't been able to sleep, so I've been playing Words With Friends and Angry Birds all night. What a thrilling life I lead.",sarcastic,0,1
"#PROJECTRUNWAY Ven ur dress gave ur model a 3RD BREAST! Nice, just what every gal wants! u sure know design better than women!",sarcastic,0,0
"Pentagon threatens legal action over bin Laden book - http://t.co/c1T4MGxs Yeah, that should help your re-election @barackobama",sarcastic,0,0
SPOTTED: @Charlie26Adam doing keepy-ups outside the Etihad stadium #IDontWannaGoToStoke #PleaseTakeMe #TransferDeadineDay,sarcastic,0,0
@ellieeejay hahahahahahahahaha!!:'L oh I just loooove you so much for putting this on twitterrrrr -.- ;),sarcastic,0,0
"Eww, just saw this nasty, frumpy girl lift up her boob and scratch underneath it... Just puked a little",sarcastic,0,0
"Oh, love this! Shaky camera : Check RT @Hickesy Fake, of course, but I still love this UFO vid http://t.co/n9ju9uM7",sarcastic,0,0
@RumaisaMohani @ShaiziCheema - I'm sure mr Raja rental would have a nice profitable scheme in mind,sarcastic,0,0
"Bianca told me that my hair growin wild son ! We need to go get that cut , I said I know mama.",sarcastic,0,0
@508Reppin_Tre yea dawg lets go.,sarcastic,0,0
First day of senior year #woohoo,sarcastic,0,0
I hate to bring my cell phone with me when I go to the bathroom.,sarcastic,0,0
Yay for 4 and a half hour sleep. #tootired #needbednow,sarcastic,0,1
re-mf-tweet “@sarahmelyssssa: I'm so proud of our graduating class... ”,sarcastic,0,0
Windows down to 31% - “@tomiahonen: World's biggest computer OS platforms when tablets &amp; smartphones included: http://t.co/QTtw1R1D”,sarcastic,0,0
"China’s iOS, Android growth up more than 400% in last year according to Flurry. Chile is 2nd at 279%. http://t.co/7nj6qiY9",sarcastic,0,0
Decote Dance and Fitness Newsletter http://t.co/l7z2Wwi4,sarcastic,0,0
"@heynikole twitter is not your personal diary, you should be a little more vague... when are you coming to meeeee",sarcastic,0,0
Monitoring the hashtag #PhTrenchQuake stay safe follow orders please,sarcastic,0,0
School .. There's A Fun Time #wooo,sarcastic,0,0
Love you more than this #kodeASIKASIK *poke @denis_aqsa :p hahah,sarcastic,0,0
"""@STcom: From Saturday, active servicemen and NSmen can bring their camera-enabled smartphones into 14 army camps http://t.co/vxrjwlC3"" lol",sarcastic,0,0
Time to get excited for hydraulics! Yeah buddy!,sarcastic,0,0
Do you want a cookie for that? #notagreatachievement,sarcastic,0,0
Sydney billionaire James Packer keeps gloating about how much he's making out of Crown. City of Melb should double his rate bill to $14m.,sarcastic,0,0
I love how all your tweets and instas are so original #peoplepleasers 👎,sarcastic,0,0
guy smoking in a smoke free part of campus....shame on them...,sarcastic,0,0
"""@madisonsousa: This peom ""IF"" that neves wants us to write a constructive response about makes no sense. #IsThisAJoke"" IKR?!",sarcastic,0,0
Laying in the dark 😁😏,sarcastic,0,0
SPOTTED: @Charlie26Adam doing keepy-ups outside the Etihad stadium #IDontWannaGoToStoke #PleaseTakeMe #TransferDeadineDay,sarcastic,0,0
"People protesting in favour of ""men's affairs"" in front of Parliament - yes, the poor plight of the middle class white man...",sarcastic,0,1
"Dude u were 3hrs late, do somn abt botho f yall RT""@3PLE_JAY @yhurboiJAY &amp; his inability to keep to time? Even wen I was 3hours late!!!!!!""",sarcastic,0,0
It seems the only time I can stay awake now it's at 4:30 in the morning. No need to sleep anymore. Don't worry. I'm fine. #FML,sarcastic,0,1
Dirt under your finger nails has to be the most disgusting looking thing ever,sarcastic,0,0
"@ruma1980 lol... You got it in one :), Bed now night monkey see you some time soon at worky woo",sarcastic,0,0
Let's show everybody just how good we are tonight D @BJohnson094 @LukeSarg @CodyBrown_345 @L_Starcevich @TGIF_Deion @TeenyEvanG @Dylbert_26,sarcastic,0,0
Love working on my last day of summer....,sarcastic,0,1
Our friends at the Fowler House in Quincy love Bawstins so much they may be adding it to their favorite dish. Look out its gonna be awesome!,sarcastic,0,0
Love the political advice on Twitter. #getinformed,sarcastic,0,0
Hahaha....wenger is a fucking genius...giroud is d only striker left in arsenal...lmao...!!,sarcastic,0,0
"Oh dang, I'm SOO happy you're SOO in love now.. ya know, considering that a week ago you weren't together.",sarcastic,0,0
It's raining?! At #Marist?! What a surprise!,sarcastic,0,0
"@chur_ay pengguna baru twett, mhon bantuanx ya. . :D",sarcastic,0,0
Watch ALL of our coverage of the #GOP2012 in one place. Keep up with that hurricane too. http://t.co/wqcg49Yv,sarcastic,0,0
@justinkokos I don't know where to find any Asians in champaign.,sarcastic,0,0
@xBig_Dawgg made the semi pro team bruh ran a 4.54,sarcastic,0,0
"Siplah, dtunggu Yªaªaђ transferan na Yªaªaђ wkwkw RT @_indriinapasha: Iya [ɑ̲̅κ̲̅u̲̅] (cont) http://t.co/ii6WsAvI",sarcastic,0,0
"Hey, hi. I'm here to look pretty and insult your intelligence. [insert something insulting to your intelligence and hairflip here]",sarcastic,0,0
And now the time is more than 4pm.. So i should get ready... Bubbye....,sarcastic,0,0
"@chur_ay pengguna baru twett, mhon bantuanx ya. . :D",sarcastic,0,0
@tori_cromwell I'm done at 4ish def text me if you are free after that!!,sarcastic,0,0
First day of senior year #woohoo,sarcastic,0,0
stressed and school hasnt even started #shouldbeagoodyear,sarcastic,0,1
Just love getting lied to !,sarcastic,0,1
Long long amazing line at security! Wonderful start to the long weekend #can'twait #hungry #airportat5AM,sarcastic,0,0
@QueMarlee appreciate that man,sarcastic,0,0
Every dark light is followed by a light morning. Good Morning and don't forget to be AWESOME!,sarcastic,0,0
@xBig_Dawgg made the semi pro team bruh ran a 4.54,sarcastic,0,0
What beautiful passport photos I just took #vom,sarcastic,0,1
And the dream would go on and on while we sway against all things thrown our way. #np,sarcastic,0,0
"Feel like crap, tomorrow should be great. #throathurts #allergies",sarcastic,0,0
"Maryland absolutely, positively did the right thing not honoring James Franklin's ""Head Coach In Waiting"" status.",sarcastic,0,0
Love you more than this #kodeASIKASIK *poke @denis_aqsa :p hahah,sarcastic,0,0
I just love eight o'clock classes 😒,sarcastic,0,1
@tylerstratton13 I love working there was this and when did you #go,sarcastic,0,0
I'm incredibly annoyed that I'm gonna have to sit through lunch during 4th and 5th this year. I'll probably just stay in class and be a nerd,sarcastic,0,0
Need to play football....,sarcastic,0,0
"Company next door uses explosives to get their material sounds like a war, I spilled tea all over my notebook {thanks}",sarcastic,0,0
"Yay, I'm so happy it's tuesday 😒",sarcastic,0,0
The school board's wisest budget cut has to be the one that includes new MacBook's for faculty members...,sarcastic,0,1
Just sprained my foot. happy days.,sarcastic,0,1
"@KyleLove74 Nope, I can't stand to lick envelopes either.....yuck!",sarcastic,0,0
Its my birthday bitches... who's gonna start sucking my dick and who's gonna start sucking my balls?,sarcastic,0,0
That shit she just told me made me mad for some reason... I shouldnt have asked,sarcastic,0,0
Of course I have the earliest appointment at the dmv and the computers crashed last night #greatmorning,sarcastic,0,1
School .. There's A Fun Time #wooo,sarcastic,0,0
Love when the Internet goes down at work! #not,sarcastic,0,1
Time to get excited for hydraulics! Yeah buddy!,sarcastic,0,0
"Gonna have to do another unfollow spree later today, yeah, those are always fun. #DamnYouFollowLimit",sarcastic,0,1
Woo! So excited! first day of school!,sarcastic,0,0
I can't even describe how excited I am to go cook noodles for 3 hours,sarcastic,0,1
Going in to work for 2 hours was totally worth the 35 min drive!,sarcastic,0,1
"Feel like crap, tomorrow should be great. #throathurts #allergies",sarcastic,0,0
I just LOVE all this rain,sarcastic,0,0
I misssss @samantha_dewitt ! Need to see yoouuu &lt;3,sarcastic,0,0
"Dear Teva, thank you for waking me up every few hours by howling. Your just trying to be mother natures alarm clock.",sarcastic,0,1
They Need To Bring Back The Kwik-E-Mart. Lls,sarcastic,0,0
